AMZN,2023-03-31,14207000000.0
AMZN,2023-06-30,11455000000.0
AMZN,2023-09-30,12479000000.0
AMZN,2023-12-31,14588000000.0
AMZN,2024-03-31,14925000000.0
AMZN,2024-06-30,17620000000.0
AMZN,2024-09-30,22620000000.0
AMZN,2024-12-31,27834000000.0
AMZN,2025-03-31,25019000000.0
AMZN,2025-06-30,32183000000.0
AMZN,2025-09-30,35095000000.0
AMZN,2025-12-31,39522000000.0
AMZN,2026-03-31,44203000000.0
AMZN,2026-06-30,54208000000.0
GOOGL,2023-03-31,6289000000.0
GOOGL,2023-06-30,6888000000.0
GOOGL,2023-09-30,8055000000.0
GOOGL,2023-12-31,11019000000.0
GOOGL,2024-03-31,12012000000.0
GOOGL,2024-06-30,13186000000.0
GOOGL,2024-09-30,13061000000.0
GOOGL,2024-12-31,14276000000.0
GOOGL,2025-03-31,17197000000.0
GOOGL,2025-06-30,22446000000.0
GOOGL,2025-09-30,23953000000.0
GOOGL,2025-12-31,27851000000.0
GOOGL,2026-03-31,35674000000.0
GOOGL,2026-06-30,44924000000.0
META,2023-03-31,6823000000.0
META,2023-06-30,6134000000.0
META,2023-09-30,6496000000.0
META,2023-12-31,7592000000.0
META,2024-03-31,6400000000.0
META,2024-06-30,8173000000.0
META,2024-09-30,8258000000.0
META,2024-12-31,14425000000.0
META,2025-03-31,12941000000.0
META,2025-06-30,16538000000.0
META,2025-09-30,18829000000.0
META,2025-12-31,21383000000.0
META,2026-03-31,18997000000.0
MSFT,2023-03-31,6607000000.0
MSFT,2023-06-30,8943000000.0
MSFT,2023-09-30,9917000000.0
MSFT,2023-12-31,9735000000.0
MSFT,2024-03-31,10952000000.0
MSFT,2024-06-30,13873000000.0
MSFT,2024-09-30,14923000000.0
MSFT,2024-12-31,15804000000.0
MSFT,2025-03-31,16745000000.0
MSFT,2025-06-30,17079000000.0
MSFT,2025-09-30,19394000000.0
MSFT,2025-12-31,29876000000.0
MSFT,2026-03-31,30876000000.0
MSFT,2026-06-30,35802000000.0
ORCL,2023-02-28,2628000000.0
ORCL,2023-05-31,1913000000.0
ORCL,2023-08-31,1314000000.0
ORCL,2023-11-30,1080000000.0
ORCL,2024-02-29,1674000000.0
ORCL,2024-05-31,2798000000.0
ORCL,2024-08-31,2303000000.0
ORCL,2024-11-30,3970000000.0
ORCL,2025-02-28,5862000000.0
ORCL,2025-05-31,9080000000.0
ORCL,2025-08-31,8502000000.0
ORCL,2025-11-30,12033000000.0
ORCL,2026-02-28,18635000000.0
ORCL,2026-05-31,16493000000.0
