2026-06-18,3409049460.0,13646.6678,5.811,4.9122,0.4598,0.6585,0.612
2026-06-23,3364481711.0,14060.565,5.3637,4.6957,0.4687,0.614,0.6244
2026-06-28,3310071326.0,14114.6047,5.35,4.6486,0.4525,0.4462,0.6408
2026-07-06,3438076903.0,13608.7879,6.2131,5.1133,0.4814,0.6471,0.9396
2026-07-12,3496082516.0,15051.0374,8.7458,7.9118,0.5043,0.7059,0.8943
2026-07-19,3714409489.0,16764.6864,6.9805,7.0597,0.4996,0.7672,0.7975
2026-07-25,3790760056.0,15376.2975,7.1505,7.6112,0.4743,0.7509,0.7486
2026-08-02,4005385651.0,14178.0577,7.7008,8.9808,0.4816,0.6882,0.5029
2026-08-09,3953204734.0,17465.9656,3.5555,7.1495,0.5208,0.6381,0.6408
2026-08-23,4610810958.0,20251.671,3.1226,5.9121,0.4136,0.7713,0.695
2026-09-05,5368537398.0,21327.3859,3.582,6.5689,0.6063,0.5161,1.0
2026-09-07,5499542436.0,21855.5323,3.7557,6.6244,0.5961,,1.0
