date,hx_px,ss_px,dxy,spx,sox,vix,hyoas,move,rspt,smh
2023-08-14,112433.3984375,63645.9921875,103.19000244140624,4489.72021484375,3615.449951171875,14.81999969482422,,,,
2023-08-15,,,103.20999908447266,4437.85986328125,3553.9599609375,16.459999084472656,,,,
2023-08-16,113314.0859375,63362.28515625,103.41999816894533,4404.330078125,3480.080078125,16.780000686645508,,,,
2023-08-17,112335.5390625,63078.5703125,103.44000244140624,4370.35986328125,3446.35009765625,17.889999389648438,,,,
2023-08-18,114684.0234375,62700.28125,103.37999725341795,4369.7099609375,3462.739990234375,17.299999237060547,,,,
2023-08-21,113901.1953125,62983.9921875,103.33000183105467,4399.77001953125,3560.739990234375,17.1299991607666,,,,
2023-08-22,113999.046875,62983.9921875,103.55999755859376,4387.5498046875,3527.68994140625,16.969999313354492,,,,
2023-08-23,113509.78125,63456.8515625,103.36000061035156,4436.009765625,3602.010009765625,15.979999542236328,,,,
2023-08-24,118304.59375,64497.12109375,103.9800033569336,4376.31005859375,3481.300048828125,17.200000762939453,,,,
2023-08-25,113999.0390625,63456.84765625,104.08000183105467,4405.7099609375,3495.64990234375,15.68000030517578,,110.37000274658205,,
2023-08-28,113387.34375,63173.13671875,104.05999755859375,4433.31005859375,3537.8701171875,15.079999923706055,,110.44999694824219,28.576684951782227,148.90036010742188
2023-08-29,116028.7890625,63173.13671875,103.55000305175781,4497.6298828125,3629.570068359375,14.449999809265137,,110.68000030517578,29.050329208374023,152.71832275390625
2023-08-30,116811.4609375,63456.8515625,103.16000366210938,4514.8701171875,3643.919921875,13.880000114440918,,109.83999633789062,29.208213806152344,153.49771118164062
2023-08-31,119159.4375,63267.69921875,103.62000274658203,4507.66015625,3670.929931640625,13.569999694824219,,107.93000030517578,29.41543197631836,154.11923217773438
2023-09-01,117398.4609375,67145.109375,104.23999786376953,4515.77001953125,3682.840087890625,13.09000015258789,,102.91999816894531,29.622652053833008,154.109375
2023-09-04,116615.796875,67334.234375,,,,,,,,
2023-09-05,116811.4609375,66861.3828125,104.80999755859375,4496.830078125,3683.7900390625,14.010000228881836,,109.63999938964844,29.563444137573242,154.47439575195312
2023-09-06,115637.4921875,66199.3828125,104.86000061035156,4465.47998046875,3654.4599609375,14.449999809265137,,111.30999755859375,29.435165405273438,152.67884826660156
2023-09-07,115930.9765625,66577.6875,105.05999755859375,4451.14013671875,3582.110107421875,14.399999618530273,,105.19999694824219,28.981258392333984,149.2949981689453
2023-09-08,111235.046875,66483.1015625,105.08999633789062,4457.490234375,3565.989990234375,13.84000015258789,,104.33999633789062,28.961519241333008,148.35777282714844
2023-09-11,113387.34375,66955.96875,104.56999969482422,4487.4599609375,3569.22998046875,13.800000190734863,,107.2300033569336,28.92205047607422,148.46629333496094
2023-09-12,114170.0,66672.234375,104.70999908447266,4461.89990234375,3541.090087890625,14.229999542236328,,105.11000061035156,28.527345657348633,147.3514862060547
2023-09-13,115930.9765625,67050.515625,104.7699966430664,4467.43994140625,3560.4599609375,13.479999542236328,,101.86000061035156,28.517473220825195,148.5452117919922
2023-09-14,119550.7734375,67807.09375,105.41000366210938,4505.10009765625,3584.22998046875,12.819999694824219,,97.11000061035156,28.774032592773438,149.3541717529297
2023-09-15,119746.421875,68090.8046875,105.31999969482422,4450.31982421875,3476.389892578125,13.789999961853027,,96.61000061035156,28.27078628540039,144.8357696533203
2023-09-18,116420.140625,66388.53125,105.19999694824219,4453.52978515625,3492.469970703125,14.0,,99.31999969482422,28.363683700561523,145.31918334960938
2023-09-19,116615.796875,66010.265625,105.19999694824219,4443.9501953125,3459.02001953125,14.109999656677246,,101.30999755859375,28.373565673828125,144.06626892089844
2023-09-20,115441.8125,65821.109375,105.16000366210938,4402.2001953125,3398.81005859375,15.140000343322754,,97.04000091552734,28.16602897644043,141.69854736328125
2023-09-21,113974.3203125,65159.109375,105.36000061035156,4330.0,3338.85009765625,17.540000915527344,,106.0,27.681766510009766,138.86712646484375
2023-09-22,114756.9765625,65064.546875,105.58000183105469,4320.06005859375,3365.2900390625,17.200000762939453,,101.11000061035156,27.750951766967773,140.05101013183594
2023-09-25,114463.484375,65631.96875,106.0,4337.43994140625,3389.4599609375,16.899999618530273,,117.33000183105469,27.82012939453125,141.0375518798828
2023-09-26,112796.078125,65214.640625,106.2300033569336,4273.52978515625,3329.6201171875,18.940000534057617,,117.72000122070312,27.31610679626465,138.8079376220703
2023-09-27,112501.828125,65024.5078125,106.66999816894531,4274.509765625,3361.409912109375,18.219999313354492,,122.08999633789062,27.444581985473633,140.08059692382812
2023-09-28,,,106.22000122070312,4299.7001953125,3420.989990234375,17.34000015258789,,115.23999786376953,27.810245513916016,142.3496551513672
2023-09-29,,,106.16999816894531,4288.0498046875,3434.2900390625,17.520000457763672,,113.55000305175781,27.82012939453125,143.03038024902344
2023-10-02,,,106.9000015258789,4288.39013671875,3448.85009765625,17.610000610351562,,127.58999633789062,27.839893341064453,144.26358032226562
2023-10-03,,,107.0,4229.4501953125,3376.580078125,19.780000686645508,,141.6699981689453,27.365514755249023,141.05726623535156
2023-10-04,113188.4140625,64168.921875,106.80000305175781,4263.75,3424.919921875,18.579999923706055,,128.22999572753906,27.652122497558594,143.25729370117188
2023-10-05,117896.4140625,63408.3984375,106.33000183105469,4258.18994140625,3406.97998046875,18.489999771118164,,130.17999267578125,27.55329132080078,143.25729370117188
2023-10-06,118092.5859375,62742.94140625,106.04000091552734,4308.5,3475.2099609375,17.450000762939453,,126.63999938964844,27.95848846435547,146.35507202148438
2023-10-09,,,106.08000183105469,4335.66015625,3467.35009765625,17.700000762939453,,,28.037551879882812,145.98016357421875
2023-10-10,117209.84375,63123.20703125,105.83000183105469,4358.240234375,3512.070068359375,17.030000686645508,,136.1699981689453,28.245088577270508,147.7855682373047
2023-10-11,116915.5859375,64834.37109375,105.81999969482422,4376.9501953125,3537.830078125,16.09000015258789,,127.18000030517578,28.442747116088867,149.38377380371094
2023-10-12,121819.7578125,65499.8359375,106.56999969482422,4349.60986328125,3548.6201171875,16.690000534057617,,126.37000274658203,28.245088577270508,150.14344787597656
2023-10-13,122310.1796875,64644.2421875,106.6500015258789,4327.77978515625,3452.969970703125,19.31999969482422,,128.3300018310547,27.800365447998047,146.38465881347656
2023-10-16,121721.6875,63978.79296875,106.23999786376953,4373.6298828125,3502.510009765625,17.209999084472656,,130.16000366210938,28.16602897644043,148.07167053222656
