date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi
2025-02-04,1903,493,135,0,0,0,,,,13.8545,3.6899,18.0581,0.7906,682,202,48,0,0,0,,,,8.3153,2.445,10.8263,0.5397,1221,291,87,0,0,0,,,,5.5392,1.2449,7.2317,2.5983,31.2915,1.642,0,5,1,2481.69,719.92,
2025-02-05,1650,733,150,0,0,0,,,,12.8111,3.2888,16.8583,0.7279,579,297,56,0,0,0,,,,6.658,2.4185,9.7657,0.4802,1071,436,94,0,0,0,,,,6.1532,0.8702,7.0926,2.5101,34.0836,1.8143,1,2,1,2509.27,730.98,
2025-02-06,1454,889,191,0,0,0,,,,14.9146,3.7929,18.8934,0.807,589,275,69,0,0,0,,,,9.1813,2.3121,11.5806,0.5633,865,614,122,0,0,0,,,,5.7333,1.4808,7.3128,2.5635,30.4091,1.5487,0,5,0,2536.75,740.32,
2025-02-07,851,1512,171,0,0,0,,,,10.7419,8.1777,18.9995,0.8151,283,591,59,0,0,0,,,,3.7193,6.2343,9.978,0.4881,568,921,112,0,0,0,,,,7.0226,1.9434,9.0215,3.1477,27.2435,1.4612,1,5,0,2521.92,742.9,
2025-02-10,1281,1066,187,0,0,0,,,,11.8931,7.5705,19.9605,0.8551,412,445,76,0,0,0,,,,4.7436,5.4515,10.388,0.508,869,621,111,0,0,0,,,,7.1495,2.119,9.5725,3.3074,25.8187,0.9134,0,8,1,2521.27,749.67,
2025-02-11,1150,1190,194,0,0,0,,,,14.3622,4.8027,19.6015,0.8342,464,402,67,0,0,0,,,,8.4616,2.1537,10.911,0.5298,686,788,127,0,0,0,,,,5.9006,2.6489,8.6905,2.9935,31.0861,1.5365,1,5,2,2539.05,749.59,
2025-02-12,806,1557,171,0,0,0,,,,12.7956,7.0187,21.1357,0.8969,328,543,62,0,0,0,,,,9.8672,3.7758,13.7359,0.6641,478,1014,109,0,0,0,,,,2.9284,3.2429,7.3998,2.5667,37.1717,1.3394,1,5,0,2548.39,745.18,
2025-02-13,1401,947,187,0,0,0,,,,16.467,5.2068,23.698,0.993,563,306,64,0,0,0,,,,11.9263,3.5507,16.8016,0.8014,838,641,123,0,0,0,,,,4.5407,1.6561,6.8964,2.3784,30.0267,1.142,0,4,0,2583.17,749.28,
2025-02-14,1200,1134,202,0,0,0,,,,14.6554,7.0933,22.3747,0.9343,490,360,83,0,0,0,,,,8.6375,4.8382,13.6174,0.6478,710,774,119,0,0,0,,,,6.0179,2.2552,8.7572,2.9894,31.7489,0.8549,0,2,2,2591.05,756.32,
2025-02-17,1633,736,168,0,0,0,,,,13.224,3.6707,18.8419,0.78,609,262,62,0,0,0,,,,7.025,2.3909,10.8933,0.5145,1024,474,106,0,0,0,,,,6.199,1.2798,7.9486,2.6639,26.2121,0.7478,0,4,2,2610.42,768.48,
2025-02-18,1306,1034,198,0,0,0,,,,16.3659,5.0059,21.6116,0.8886,469,392,72,0,0,0,,,,9.2526,3.1776,12.5576,0.5892,837,642,126,0,0,0,,,,7.1134,1.8283,9.054,3.0105,28.6867,0.9908,0,6,0,2626.81,773.65,
2025-02-19,1472,902,164,0,0,0,,,,16.3369,6.7664,23.5507,0.9529,570,296,67,0,0,0,,,,10.6228,3.6192,14.6486,0.6753,902,606,97,0,0,0,,,,5.7141,3.1472,8.9021,2.9451,28.5536,0.7254,0,5,0,2671.52,778.27,
2025-02-20,988,1374,176,0,0,0,,,,9.0686,12.3289,22.8014,0.9295,445,408,80,0,0,0,,,,5.9045,8.1047,14.3119,0.6641,543,966,96,0,0,0,,,,3.1641,4.2242,8.4894,2.8468,28.963,0.9943,0,10,0,2654.06,768.27,
2025-02-21,1269,1073,197,0,0,0,,,,11.1144,6.7043,18.1872,0.7409,498,370,65,0,0,0,,,,6.4004,4.6598,11.3076,0.5246,771,703,132,0,0,0,,,,4.7139,2.0445,6.8796,2.299,27.8595,1.3328,0,4,0,2654.58,774.65,
