date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi,usdkrw,putcall,ew_close,ew_mom
2025-02-18,1333,1053,199,0,0,0,,,,17.1299,5.4105,22.7827,0.9014,469,391,72,0,0,0,,,,9.2526,3.1774,12.5574,0.5889,864,662,127,0,0,0,,,,7.8774,2.2331,10.2254,2.5873,27.2121,0.9278,0,6,0,2626.81,773.65,17.88,1441.29,0.674,11104.0,5.3862
2025-02-19,1502,916,167,0,0,0,,,,17.5066,7.4525,25.4181,0.9899,569,296,67,0,0,0,,,,10.6225,3.6192,14.6483,0.675,933,620,100,0,0,0,,,,6.8841,3.8332,10.7698,2.7095,26.4559,0.6606,0,5,0,2671.52,778.27,18.49,1440.08,0.624,11254.0,6.7176
2025-02-20,1003,1406,176,0,0,0,,,,9.9231,13.2447,24.5716,0.964,444,408,80,0,0,0,,,,5.9041,8.1047,14.3116,0.6638,559,998,96,0,0,0,,,,4.0189,5.14,10.26,2.6119,26.8764,0.8921,0,10,0,2654.06,768.27,18.64,1439.98,0.744,11196.0,6.1003
2025-02-21,1299,1090,197,0,0,0,,,,11.9605,7.0804,19.4094,0.7605,497,370,65,0,0,0,,,,6.4,4.6598,11.3072,0.5243,802,720,132,0,0,0,,,,5.5605,2.4206,8.1022,2.0478,26.1052,1.2135,0,4,0,2654.58,774.65,18.64,1431.7,0.85,11254.0,6.5866
2025-02-24,1140,1270,176,0,0,0,,,,8.7725,8.4976,18.6087,0.7312,442,414,76,0,0,0,,,,4.9031,5.5916,10.5988,0.4932,698,856,100,0,0,0,,,,3.8694,2.906,8.0098,2.0219,26.706,1.1994,1,5,0,2645.27,773.33,19.48,1434.29,0.807,11182.0,5.8469
2025-02-25,901,1509,176,0,0,0,,,,9.0871,8.8016,18.7613,0.7406,353,520,59,0,0,0,,,,5.0461,5.2921,10.423,0.4885,548,989,117,0,0,0,,,,4.0411,3.5095,8.3383,2.0874,28.2483,0.9178,0,3,0,2630.29,769.43,19.6,1428.65,0.826,11133.0,5.3302
2025-02-26,1338,1037,212,0,0,0,,,,11.3052,6.9224,18.9547,0.7456,539,328,65,0,0,0,,,,6.7788,4.1869,11.1176,0.5191,799,709,147,0,0,0,,,,4.5265,2.7354,7.8371,1.9568,24.3291,0.6213,0,5,0,2641.09,771.41,19.93,1429.5,0.836,11221.0,6.1173
2025-02-27,792,1629,166,0,0,0,,,,8.5324,9.2607,18.0416,0.7141,313,560,59,0,0,0,,,,4.1613,6.4066,10.6932,0.5029,479,1069,107,0,0,0,,,,4.3711,2.8541,7.3484,1.8363,25.1992,0.8133,0,5,0,2621.75,770.85,19.32,1434.42,0.851,11211.0,5.9784
2025-02-28,320,2181,86,0,0,0,,,,4.1204,18.6665,23.0218,0.9416,92,821,19,0,0,0,,,,1.8706,13.4617,15.405,0.7485,228,1360,67,0,0,0,,,,2.2498,5.2049,7.6168,1.9682,24.5393,0.7336,0,4,0,2532.78,743.96,22.86,1449.86,1.512,10877.0,2.8061
2025-03-04,744,1716,127,0,0,0,,,,9.834,7.5245,18.5613,0.7627,303,583,45,0,0,0,,,,7.0465,4.8955,13.0922,0.6387,441,1133,82,0,0,0,,,,2.7875,2.629,5.4692,1.4242,32.1126,0.96,0,5,0,2528.92,737.9,23.47,1457.9301,1.067,10804.0,2.1117
